fecha,camas_ocupadas_total,pred_camas_total,camas_ocupadas_planta,camas_ocupadas_uci,error,pct_ocupacion_total
2024-09-29,48.0,61.513333333333335,48.0,0.0,13.513333333333335,42.10526315789473
2024-09-29,60.0,54.53,60.0,0.0,-5.469999999999999,58.82352941176471
2024-09-29,243.0,266.47,235.0,8.0,23.470000000000027,60.0
2024-09-29,628.0,623.9666666666667,589.0,39.0,-4.033333333333303,81.87744458930901
2024-09-29,367.0,413.1166666666667,351.0,16.0,46.116666666666674,65.18650088809946
2024-09-29,586.0,638.6066666666667,560.0,26.0,52.60666666666668,63.078579117330456
2024-09-29,583.0,609.63,552.0,31.0,26.629999999999995,81.42458100558659
2024-09-29,248.0,253.85666666666665,245.0,3.0,5.856666666666655,67.02702702702703
2024-09-29,259.0,284.68,254.0,5.0,25.680000000000007,71.34986225895317
2024-09-29,136.0,157.22333333333333,131.0,5.0,21.22333333333333,52.918287937743195
2024-09-29,192.0,211.58666666666667,183.0,9.0,19.586666666666673,58.18181818181818
2024-09-29,287.0,314.93333333333334,278.0,9.0,27.933333333333337,63.91982182628062
2024-09-30,416.0,446.6533333333333,398.0,18.0,30.653333333333308,74.28571428571429
2024-09-30,463.0,495.07,421.0,42.0,32.06999999999999,68.49112426035504
2024-09-30,58.0,56.93,58.0,0.0,-1.0700000000000003,50.877192982456144
2024-09-30,65.0,57.0,65.0,0.0,-8.0,64.35643564356435
2024-09-30,270.0,282.32,261.0,9.0,12.319999999999993,66.66666666666666
2024-09-30,650.0,650.13,609.0,41.0,0.12999999999999545,84.7457627118644
2024-09-30,316.0,330.7266666666667,305.0,11.0,14.726666666666688,70.37861915367483
2024-09-30,661.0,644.2833333333333,637.0,24.0,-16.716666666666697,71.15177610333691
2024-09-30,633.0,628.1533333333333,604.0,29.0,-4.846666666666692,88.40782122905027
2024-09-30,248.0,256.10333333333335,245.0,3.0,8.103333333333353,67.02702702702703
2024-09-30,292.0,289.7366666666667,284.0,8.0,-2.263333333333321,80.44077134986226
2024-09-30,149.0,159.80333333333334,144.0,5.0,10.803333333333342,57.97665369649806
2024-09-30,208.0,217.37,200.0,8.0,9.370000000000005,63.030303030303024
2024-10-01,496.0,490.49666666666667,443.0,53.0,-5.50333333333333,74.14050822122572
2024-10-01,60.0,58.35,60.0,0.0,-1.6499999999999986,52.63157894736842
2024-10-01,74.0,58.63333333333333,74.0,0.0,-15.366666666666667,72.54901960784314
2024-10-01,266.0,277.58666666666664,258.0,8.0,11.586666666666645,65.67901234567901
2024-10-01,664.0,626.5833333333334,621.0,43.0,-37.41666666666663,86.57105606258149
2024-10-01,457.0,455.79333333333335,435.0,22.0,-1.2066666666666492,81.02836879432624
2024-10-01,710.0,639.2433333333333,679.0,31.0,-70.75666666666666,76.42626480086115
2024-10-01,641.0,596.7166666666667,605.0,36.0,-44.2833333333333,89.27576601671309
2024-10-01,259.0,255.77666666666667,256.0,3.0,-3.223333333333329,70.0
2024-10-01,284.0,286.9066666666667,279.0,5.0,2.9066666666666947,78.23691460055096
2024-10-01,151.0,165.07,149.0,2.0,14.069999999999993,58.52713178294574
2024-10-01,203.0,219.07,194.0,9.0,16.069999999999993,61.51515151515151
2024-10-01,300.0,320.3466666666667,292.0,8.0,20.346666666666692,66.815144766147
2024-10-02,508.0,491.42,456.0,52.0,-16.579999999999984,75.82089552238806
2024-10-02,50.0,63.513333333333335,50.0,0.0,13.513333333333335,43.859649122807014
2024-10-02,72.0,65.84,72.0,0.0,-6.159999999999997,72.0
2024-10-02,274.0,272.7733333333333,268.0,6.0,-1.2266666666666879,67.65432098765433
2024-10-02,685.0,636.3966666666666,640.0,45.0,-48.60333333333335,89.30899608865711
2024-10-02,434.0,427.94666666666666,411.0,23.0,-6.053333333333342,77.5
2024-10-02,714.0,653.0466666666666,681.0,33.0,-60.953333333333376,76.85683530678149
2024-10-02,634.0,590.7833333333333,601.0,33.0,-43.2166666666667,87.56906077348067
2024-10-02,264.0,258.5466666666667,260.0,4.0,-5.453333333333319,71.35135135135135
2024-10-02,288.0,293.5233333333333,281.0,7.0,5.523333333333312,79.33884297520662
2024-10-02,0.0,27.373333333333335,0.0,0.0,27.373333333333335,
2024-10-02,205.0,232.77666666666667,199.0,6.0,27.77666666666667,62.121212121212125
2024-10-02,310.0,318.18333333333334,302.0,8.0,8.183333333333337,69.04231625835189
2024-10-03,272.0,282.0933333333333,266.0,6.0,10.093333333333305,67.1604938271605
2024-10-03,678.0,641.25,641.0,37.0,-36.75,88.39634941329857
2024-10-03,423.0,412.1,394.0,29.0,-10.899999999999977,75.26690391459074
2024-10-03,503.0,486.64666666666665,453.0,50.0,-16.353333333333353,74.40828402366864
2024-10-03,53.0,63.43666666666667,53.0,0.0,10.436666666666667,46.49122807017544
2024-10-03,75.0,69.97,75.0,0.0,-5.030000000000001,77.31958762886599
2024-10-03,309.0,324.2966666666667,301.0,8.0,15.296666666666681,68.8195991091314
2024-10-03,299.0,300.14666666666665,290.0,9.0,1.146666666666647,82.14285714285714
2024-10-03,151.0,167.99666666666667,150.0,1.0,16.99666666666667,58.52713178294574
2024-10-03,214.0,218.89333333333335,210.0,4.0,4.893333333333345,64.84848484848484
2024-10-03,682.0,673.98,652.0,30.0,-8.019999999999982,73.41227125941873
2024-10-03,623.0,616.0033333333333,592.0,31.0,-6.99666666666667,86.04972375690608
2024-10-03,265.0,264.93,259.0,6.0,-0.06999999999999318,71.62162162162163
2024-10-04,678.0,637.9933333333333,641.0,37.0,-40.00666666666666,88.39634941329857
2024-10-04,503.0,490.79,453.0,50.0,-12.20999999999998,74.40828402366864
2024-10-04,299.0,300.19666666666666,290.0,9.0,1.1966666666666583,82.14285714285714
2024-10-04,75.0,72.02,75.0,0.0,-2.980000000000004,77.31958762886599
