fecha,tmax,tmin,precip_mm,humedad_%,viento_kph,camas_habilitadas_planta,camas_habilitadas_uci,hosp_fract_cadera,hosp_insuf_card,hosp_infarto_miorardio,hosp_ictus,hosp_epoc,hospital_Complejo Asistencial Universitario de Burgos,hospital_Complejo Asistencial Universitario de León,hospital_Complejo Asistencial Universitario de Palencia,hospital_Complejo Asistencial Universitario de Salamanca,hospital_Complejo Asistencial de Segovia,hospital_Complejo Asistencial de Soria,hospital_Complejo Asistencial de Zamora,hospital_Complejo Asistencial de Ávila,hospital_Hospital Clínico Universitario de Valladolid,hospital_Hospital El Bierzo,hospital_Hospital Santiago Apóstol,hospital_Hospital Santos Reyes,hospital_Hospital Universitario Río Hortega,provincia_Burgos,provincia_León,provincia_Palencia,provincia_Salamanca,provincia_Segovia,provincia_Soria,provincia_Valladolid,provincia_Zamora,provincia_Ávila,camas_iniciales_planta,camas_iniciales_uci,pred_camas_total,error_simulado,hospital,provincia
2025-06-01,20.93422048599741,-1.869471401952735,0.0,53.2215908489288,11.97155052935791,530.3869875307738,41.32105723106111,5.235729092081131,16.93050081665394,8.776840711348076,2.7571966297790924,5.023620911599304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674.0,57.0,424.9266666666667,-16.836540485225637,hospital_Hospital El Bierzo,provincia_Ávila
2025-06-02,30.116587497438537,18.075418048044575,0.0,58.94729640157058,22.193356789406465,543.6986332196017,40.92593275369674,0.0,10.045850259254903,0.393422345775706,13.14233357173298,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674.0,57.0,440.87,0.34995758938280375,hospital_Hospital Universitario Río Hortega,provincia_Soria
2025-06-03,11.838743196157118,6.801348971657419,2.962596707651628,44.769893327144466,7.659804351326074,534.1153771395038,40.8326893165804,9.875948670590624,32.12018328461955,4.893513650140717,7.8467375692559855,6.5335114219460655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674.0,57.0,465.71,-9.31210167292232,hospital_Complejo Asistencial de Ávila,provincia_León
2025-06-04,29.8621269442864,2.495121344911488,4.27010813292778,54.30533731391817,6.566682060068126,549.9066938633912,40.777392207034794,4.36309625220853,11.677865907520157,1.1421972256925113,10.507488014904682,17.52274106909283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674.0,57.0,456.05,10.666244946610702,hospital_Complejo Asistencial de Soria,provincia_Valladolid
2025-06-05,22.648240956303926,13.99552986621168,6.169591008250206,61.888720694545455,13.261871559859559,543.0182857616874,41.84115514953779,6.322581925645468,32.66468035519123,10.525766294709747,24.27606929615651,12.142471935049553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674.0,57.0,492.7733333333333,0.7944364715914772,hospital_Complejo Asistencial de Ávila,provincia_León
2025-06-06,8.324413564781961,-0.06708452150704414,1.1567004752126935,41.99616637969585,13.261134906859407,565.5508360687445,40.50948624117188,5.301028600995802,27.45253966521547,0.0,20.232726852329527,5.548360888868309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674.0,57.0,471.69666666666666,39.647004566109885,hospital_Complejo Asistencial Universitario de Burgos,provincia_Soria
2025-06-07,11.232584635867632,1.7158377964375982,9.338750575758967,45.64683270901172,14.904972773608762,525.2452651723389,39.491301550074795,3.455256532325562,22.314114158115018,0.7567036260575408,15.77662941489293,8.927132831551752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674.0,57.0,453.84,-12.629597047002244,hospital_Complejo Asistencial Universitario de León,provincia_Segovia
2025-06-08,26.26620566853323,7.114646240140627,3.7722601738556953,94.82126221059278,26.219973152155603,565.2162058905235,40.96458380298306,8.100969070866435,17.4492418566801,4.558403453473849,7.004467136478214,13.867106508536105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674.0,57.0,445.81,64.09199237080324,hospital_Complejo Asistencial Universitario de León,provincia_Segovia
2025-06-09,23.25918880934183,10.418069082976288,0.0,38.20185397105516,5.926347796920317,524.8860427811766,41.23513968106076,5.471957083637644,13.929426656064235,4.561788960681598,22.329608058804848,22.546484909166363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674.0,57.0,463.74666666666667,31.16023105307422,hospital_Complejo Asistencial de Segovia,provincia_León
2025-06-10,10.572328604591652,11.77909424261765,14.650994489207683,49.8938504451706,15.451450203358919,536.4329614496056,41.6244298442761,1.423510736168418,31.558862489945486,6.1724372376808425,4.660511614101409,26.105140465369743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674.0,57.0,472.5933333333333,18.369823733087504,hospital_Complejo Asistencial Universitario de Burgos,provincia_Segovia
2025-06-11,21.12259319153125,-6.176433849103162,8.337905006669803,73.02356677373528,6.929680481842219,538.4887955777814,40.64185045175409,3.95196044607654,27.584603295108362,4.068747814066222,3.1686813868812775,15.159282797331139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674.0,57.0,464.8466666666667,4.24379502397452,hospital_Hospital Universitario Río Hortega,provincia_Burgos
2025-06-12,9.64124627754784,12.890176660082872,0.0,55.795256911616065,5.96982969544253,542.0938203783364,40.60038999883795,2.891327374305409,7.924464705924528,8.518642125078399,6.905360597483826,22.004681978650986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674.0,57.0,450.9766666666667,-8.852814187631287,hospital_Complejo Asistencial Universitario de Salamanca,provincia_Salamanca
2025-06-13,30.52960915710215,9.260354920480541,0.0,65.0494361778895,15.066785096835188,517.5734854038682,41.61831049134546,12.492545691359108,6.0973868705789265,8.406154798345995,9.07959091976194,1.0626771497365404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674.0,57.0,424.0233333333333,16.04058363832759,hospital_Complejo Asistencial de Soria,provincia_Palencia
2025-06-14,14.303348369306871,5.699695720842373,7.833522614006517,80.31491110544731,24.514523495027703,551.9792165055642,41.64946396190521,7.374363519192944,37.69456744514726,8.644615191530672,7.6236135827920535,10.380364505804366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674.0,57.0,475.8566666666667,-12.282227761803133,hospital_Hospital Santos Reyes,provincia_Burgos
2025-06-15,20.956670662843905,9.80646881493925,1.4004838042162067,99.0,6.8094571697288355,530.1962275891472,41.48036100388811,2.1508898632226168,25.48838172453392,0.0,17.811292719124587,28.316749676167156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674.0,57.0,482.44666666666666,-12.475882009243463,hospital_Hospital Clínico Universitario de Valladolid,provincia_Segovia
2025-06-16,22.487151204243442,7.825018172192253,8.263159971169632,52.35211951367282,2.0,552.262228706096,40.72764427290307,9.266098915079365,4.612346937228731,4.889143933386584,6.1878717302943915,7.376006351167805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674.0,57.0,427.51666666666665,-18.497159577318403,hospital_Complejo Asistencial Universitario de Palencia,provincia_León
2025-06-17,2.4808502171687152,-6.613171838470244,0.0,48.825630829387336,19.92250215664721,550.6933788409503,41.912661245368554,9.536484813866123,12.332836463356685,0.0,21.863529574572702,4.116258098892481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674.0,57.0,467.25666666666666,-4.220390070923809,hospital_Complejo Asistencial Universitario de Burgos,provincia_Salamanca
2025-06-18,21.096109013016424,-1.246595868386338,0.0,69.90354747455812,8.194725330910575,498.2131321104949,40.5765934761121,5.755307685597445,6.389185568306958,8.870752406259179,6.775090366070858,20.24318514322632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674.0,57.0,453.99666666666667,-0.4893740083098315,hospital_Complejo Asistencial de Soria,provincia_Salamanca
2025-06-19,17.60288176079799,10.959343802299863,2.637069132855179,94.946386514236,4.690121463143879,532.3482186444909,41.55875127454992,4.592248407469356,3.569880015617663,4.533895966456529,15.307044087402545,13.00571824189671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674.0,57.0,452.46666666666664,17.24458960578306,hospital_Hospital Clínico Universitario de Valladolid,provincia_Palencia
2025-06-20,16.50154125810483,16.995824191335586,0.0,67.30713987686109,7.724935659750156,548.1811595777453,40.12447290395352,3.696758891325837,6.565375423782324,1.6081948555994487,10.792146389215077,2.228102752690212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674.0,57.0,443.42,-31.698768142128987,hospital_Complejo Asistencial Universitario de Burgos,provincia_Ávila
